Year,Week,t,Deaths,Exposure,sn52,cs52,include,Baseline,lp,up,PopCode,Sex,Age,Date,mx_b,mx_b_u,mx_b_l,mx_d
2017,20,72,18,15233.353226341249,0.6631226582407956,-0.7485107481711006,1,19.23591793174861,11,28,GRC,b,40,2017-05-21,126.27500751762386,183.80719979356147,72.20997134747057,118.16177129586094
2017,21,73,19,15231.638104501786,0.5680647467311568,-0.8229838658936557,1,19.237086227200493,11,29,GRC,b,40,2017-05-28,126.29689659915749,190.39317899385298,72.21810237697872,124.74035865114506
2017,22,74,20,15229.923276861186,0.4647231720437685,-0.8854560256532099,1,19.23882904127386,11,28,GRC,b,40,2017-06-04,126.32256047214238,183.84859523580388,72.22623384263724,131.32042516843134
2017,23,75,12,15228.208894848978,0.35460488704253607,-0.9350162426854146,1,19.241152227723184,11,29,GRC,b,40,2017-06-11,126.3520375940706,190.436053249896,72.23436502582263,78.80112548271559
2017,24,76,25,15226.49510989469,0.23931566428755877,-0.9709418174260518,1,19.24404410389022,11,29,GRC,b,40,2017-06-18,126.38525126760652,190.4574873646058,72.24249520726427,164.1874891074188
2017,25,77,22,15224.782073427852,0.12053668025532287,-0.992708874098054,1,19.247488632545107,11,29,GRC,b,40,2017-06-25,126.42209615688472,190.47891694038984,72.25062366704442,144.50124733408884
2017,26,78,25,15223.069936877995,3.673819061467132e-16,-1,1,19.25146981344338,11,28,GRC,b,40,2017-07-02,126.4624671191095,183.93136283352283,72.25874968459826,164.22443110135967
2017,27,79,21,15221.358851674648,-0.12053668025532391,-0.9927088740980539,0,19.255971678756612,11,28,GRC,b,40,2017-07-09,126.50625917434486,183.95203918945418,72.26687253871414,137.96402939209062
2017,28,80,13,15219.648936997375,-0.23931566428755807,-0.9709418174260519,0,19.260978247828405,11,29,GRC,b,40,2017-07-16,126.55336747621675,190.5431598327083,72.27499166068246,85.415899235352
2017,29,81,19,15217.940183025878,-0.3546048870425354,-0.93501624268541494,0,19.266473400311757,11,29,GRC,b,40,2017-07-23,126.60368728352357,190.5645550660441,72.28310709401673,124.8526395260289
2017,30,82,28,15216.232547689906,-0.46472317204376784,-0.8854560256532102,0,19.272440994199414,11,28,GRC,b,40,2017-07-30,126.65711393274752,184.01401209033767,72.2912190354898,184.01401209033767
2017,31,83,19,15214.525988919188,-0.5680647467311561,-0.8229838658936561,0,19.27886490253011,11,28,GRC,b,40,2017-08-06,126.71354281146189,184.03465228159283,72.29932768205433,124.88065690536656
2017,32,84,21,15212.820464643471,-0.6631226582407951,-0.7485107481711012,0,19.285729009450176,10,28.024999999999864,GRC,b,40,2017-08-13,126.77286933263073,184.21961966312247,65.73403020985668,138.04146344069903
2017,33,85,20,15211.115932792496,-0.7485107481711006,-0.6631226582407957,0,19.29301720641358,12,29,GRC,b,40,2017-08-20,126.83498890979604,190.65004913598148,78.88967550454406,131.48279250757344
2017,34,86,16,15209.412351296,-0.8229838658936557,-0.5680647467311568,0,19.300713388520144,10,29,GRC,b,40,2017-08-27,126.89979693315057,190.6714035373556,65.74875984046744,105.19801574474792
