"","Country","Year","Age","Deaths_females","Deaths_males"
"253","Colombia","2020",60,9627.269844,11920.628664
"254","Colombia","2020",65,12446.970447,14821.090284
"255","Colombia","2020",70,14131.41544,15894.720512
"256","Colombia","2020",75,15376.801655,15645.246876
"257","Colombia","2020",80,17412.736,16051.283991
"258","Colombia","2020",85,17796.876648,13682.731452
"259","Colombia","2020",90,9844.26378,6665.24148
"260","Colombia","2020",95,5827.080285,3736.89744
"261","Czechia","2020",0,548.168433368,724.654246736
"262","Czechia","2020",5,21.5305188,20.151621
"263","Czechia","2020",10,20.944425,29.4354
"264","Czechia","2020",15,43.36065594,97.668557308
"265","Czechia","2020",20,52.390284105,155.477428232
"266","Czechia","2020",25,82.054627968,224.84656722
"267","Czechia","2020",30,119.543848182,296.9755236
"268","Czechia","2020",35,201.707411328,429.92870454
"269","Czechia","2020",40,421.678231897,851.37889286
"270","Czechia","2020",45,673.572041288,1318.204196847
"271","Czechia","2020",50,886.591066891,1756.291949448
"272","Czechia","2020",55,1397.558277486,2896.379599078
"273","Czechia","2020",60,2309.629601173,4793.603852489
"274","Czechia","2020",65,4168.93044743,7470.226723005
"275","Czechia","2020",70,6378.950679399,9370.973003496
"276","Czechia","2020",75,8074.966502289,9102.529594815
"277","Czechia","2020",80,9615.939472368,7679.340152736
"278","Czechia","2020",85,12177.16874616,7391.8972075
"279","Czechia","2020",90,8658.4237927,3778.8588968
"280","Czechia","2020",95,3275.0656869,1017.79249728
"281","Denmark","2020",0,453.67648,516.29272
"282","Denmark","2020",5,7.966035,9.3541348
"283","Denmark","2020",10,8.8895616,12.3759762
"284","Denmark","2020",15,20.052036558,43.307678976
"285","Denmark","2020",20,34.749508326,77.845432644
"286","Denmark","2020",25,36.76000458,93.023011011
"287","Denmark","2020",30,55.007416242,108.81228254
"288","Denmark","2020",35,66.958959752,143.464513764
"289","Denmark","2020",40,151.37990224,256.691462744
"290","Denmark","2020",45,290.401062595,464.514058384
"291","Denmark","2020",50,573.832317294,945.827521215
"292","Denmark","2020",55,882.56616444,1416.192965585
"293","Denmark","2020",60,1212.592024684,1866.26731162
"294","Denmark","2020",65,1683.181275146,2487.763625064
"295","Denmark","2020",70,3113.098468512,4514.36617423
"296","Denmark","2020",75,3963.976251684,4907.752944843
"297","Denmark","2020",80,4707.258611907,5053.840109925
"298","Denmark","2020",85,4626.711068761,4118.594766
"299","Denmark","2020",90,4364.35352411,2624.3481392
"300","Denmark","2020",95,2565.04029342,899.48866093
"301","Dominican Republic","2020",0,11068.164803405,15469.806152028
"302","Dominican Republic","2020",5,156.291407572,214.6378052
"303","Dominican Republic","2020",10,136.961349732,227.571909152
"304","Dominican Republic","2020",15,267.909927264,634.584018196
"305","Dominican Republic","2020",20,400.0187471,1168.973329392
"306","Dominican Republic","2020",25,585.5937409,1346.275473706
"307","Dominican Republic","2020",30,677.69976914,1440.67764103
"308","Dominican Republic","2020",35,705.206987072,1412.881336827
"309","Dominican Republic","2020",40,869.693144538,1538.022233818
"310","Dominican Republic","2020",45,1106.948291752,1816.119915886
"311","Dominican Republic","2020",50,1378.326362344,2087.012240214
"312","Dominican Republic","2020",55,1730.310857379,2685.407836397
"313","Dominican Republic","2020",60,2230.956532644,3181.905098574
"314","Dominican Republic","2020",65,2568.207097206,3549.654437376
"315","Dominican Republic","2020",70,2845.22187096,3466.49458302
"316","Dominican Republic","2020",75,2933.140176564,3448.68373416
"317","Dominican Republic","2020",80,3151.997533704,3240.61825455
"318","Dominican Republic","2020",85,2587.572484728,2417.85528285
"319","Dominican Republic","2020",90,1617.10772256,1375.4231695
"320","Dominican Republic","2020",95,995.49106176,759.220332
"321","Ecuador","2020",0,9999.300925,12965.027328
"322","Ecuador","2020",5,305.2229,329.5175884
"323","Ecuador","2020",10,293.8468354,477.2215602
"324","Ecuador","2020",15,493.009048,1117.0569512
"325","Ecuador","2020",20,630.6580819,1920.8418376
"326","Ecuador","2020",25,639.2327616,2242.335039
"327","Ecuador","2020",30,705.7879396,2067.8865013
"328","Ecuador","2020",35,825.7260879,1856.796328
"329","Ecuador","2020",40,1020.7020837,1978.9823323
"330","Ecuador","2020",45,1273.7958606,2167.6547457
"331","Ecuador","2020",50,1730.115651,2669.3412007
"332","Ecuador","2020",55,2100.2063368,2967.4846038
"333","Ecuador","2020",60,2730.4105638,3414.684708
"334","Ecuador","2020",65,3052.3484502,3975.1206262
"335","Ecuador","2020",70,3582.9181078,4325.006112
"336","Ecuador","2020",75,4609.6260771,5072.232426
"337","Ecuador","2020",80,4930.6549978,4921.5690486
"338","Ecuador","2020",85,4772.345904,4178.1471415
"339","Ecuador","2020",90,2832.3691396,2549.8547676
"340","Ecuador","2020",95,1917.2261244,1124.04187
"341","England","2020",0,NA,NA
"342","England","2020",5,NA,NA
"343","England","2020",10,NA,NA
"344","England","2020",15,NA,NA
"345","England","2020",20,NA,NA
"346","England","2020",25,NA,NA
"347","England","2020",30,NA,NA
"348","England","2020",35,NA,NA
"349","England","2020",40,NA,NA
"350","England","2020",45,NA,NA
"351","England","2020",50,NA,NA
"352","England","2020",55,NA,NA
"353","England","2020",60,NA,NA
"354","England","2020",65,NA,NA
"355","England","2020",70,NA,NA
"356","England","2020",75,NA,NA
"357","England","2020",80,NA,NA
"358","England","2020",85,NA,NA
"359","England","2020",90,NA,NA
"360","England","2020",95,NA,NA
"361","Finland","2020",0,204.90648,246.1732
"362","Finland","2020",5,11.2866336,11.01965853
"363","Finland","2020",10,11.774248,13.4361304
"364","Finland","2020",15,26.693892694,59.307664512
"365","Finland","2020",20,43.025606305,124.369504752
"366","Finland","2020",25,54.430640563,168.640828988
"367","Finland","2020",30,64.013843445,177.252089058
"368","Finland","2020",35,86.321108862,224.445271518
"369","Finland","2020",40,126.82923128,308.565033008
"370","Finland","2020",45,195.054162898,460.1772521
"371","Finland","2020",50,380.799209882,791.810380578
"372","Finland","2020",55,615.327441706,1344.469014696
"373","Finland","2020",60,916.20030425,1915.246824668
"374","Finland","2020",65,1429.402501395,2748.973345976
"375","Finland","2020",70,2248.447642317,3965.892001344
"376","Finland","2020",75,2737.11962997,3967.359248369
