Country,Sex,Age,deaths,baseline,excess,excess_ll,excess_ul,last_week,last_date
DEUTNP,f,75-84,23829,22724.71866,1104.281342,505.6730821,1822.856971,16,4/19/2020
DEUTNP,f,85+,34182,33077.71433,1104.285668,470.1857508,2304.764443,16,4/19/2020
DEUTNP,f,Total,71255,69041.20034,2213.799655,826.623558,4266.826561,16,4/19/2020
DEUTNP,m,0-14,92,79.86517678,12.13482322,1.210726579,23.4528959,10,3/8/2020
DEUTNP,m,15-64,13533,13257.4809,275.5190978,12.48076596,660.723508,15,4/12/2020
DEUTNP,m,65-74,10681,10281.0638,399.9361971,146.725055,700.7166193,15,4/12/2020
DEUTNP,m,75-84,23966,22735.41871,1230.581286,557.1223235,1949.633885,16,4/19/2020
DEUTNP,m,85+,19450,18783.54032,666.4596781,277.8073271,1348.121102,16,4/19/2020
DEUTNP,m,Total,85157,81785.09072,3371.909282,1295.331379,5912.738003,16,4/19/2020
DNK,b,0-14,5,4.749128088,0.250871912,0,1.727981908,11,3/15/2020
DNK,b,15-64,159,153.6049788,5.395021203,0,16.95619699,8,2/23/2020
DNK,b,65-74,1984,1801.501187,182.4988129,102.0508688,270.1833344,17,4/26/2020
DNK,b,75-84,2157,1954.466858,202.5331419,106.3023669,298.7639169,17,4/26/2020
DNK,b,85+,1211,1188.002149,22.99785057,0,77.71458394,15,4/12/2020
DNK,b,Total,6669,6423.799903,245.2000965,112.1098497,417.0343767,17,4/26/2020
DNK,f,0-14,9,6.546352227,2.453647773,0,5.837293669,17,4/26/2020
DNK,f,15-64,478,436.9395546,41.06044539,9.460198502,81.91525626,17,4/26/2020
DNK,f,65-74,878,801.6975302,76.30246978,22.65614168,137.5980519,17,4/26/2020
DNK,f,75-84,822,758.9270365,63.07296346,20.56216121,117.7261833,17,4/26/2020
DNK,f,85+,483,480.0998282,2.90017178,0,31.23740644,14,4/5/2020
DNK,f,Total,2743,2631.338802,111.6611977,27.11251591,211.653911,17,4/26/2020
DNK,m,15-64,99,94.69843744,4.301562558,0,13.36453446,8,2/23/2020
DNK,m,65-74,1079,959.8475272,119.1524728,66.97934466,179.2524267,17,4/26/2020
DNK,m,75-84,1542,1354.911643,187.0883566,119.5827536,262.024467,17,4/26/2020
DNK,m,85+,511,469.107588,41.89241202,17.48558528,76.71301626,15,4/12/2020
DNK,m,Total,2351,2185.933935,165.0660649,81.96040878,248.1717209,15,4/12/2020
ESP,b,0-14,282,242.7340292,39.26597081,15.39687044,71.78800495,19,5/10/2020
ESP,b,15-64,11593,10202.99952,1390.000484,1170.413231,1609.587737,19,5/10/2020
ESP,b,65-74,13151,9405.114829,3745.885171,3449.84692,4041.923423,19,5/10/2020
ESP,b,75-84,26258,17457.87469,8800.125312,8314.069401,9313.838488,19,5/10/2020
ESP,b,85+,54651,36960.97334,17690.02666,16499.2687,19008.34542,19,5/10/2020
ESP,b,Total,108903,77182.55373,31720.44627,29950.51578,33638.85268,19,5/10/2020
ESP,f,0-14,116,105.9512894,10.04871057,1.482518189,31.61462124,19,5/10/2020
ESP,f,15-64,3669,3310.368134,358.6318663,252.8197914,482.6827039,19,5/10/2020
ESP,f,65-74,4370,3280.701306,1089.298694,963.8279684,1214.76942,18,5/3/2020
ESP,f,75-84,10899,7405.721851,3493.278149,3221.375447,3772.05115,19,5/10/2020
ESP,f,85+,32007,22210.91108,9796.088916,8976.72279,10703.52678,19,5/10/2020
ESP,f,Total,51867,37165.15946,14701.84054,13705.2138,15785.84807,19,5/10/2020
ESP,m,0-14,148,128.6359384,19.36406161,5.567969873,42.88125368,19,5/10/2020
ESP,m,15-64,6081,5322.183034,758.8169656,628.734502,899.169501,16,4/19/2020
ESP,m,65-74,8704,6229.974642,2474.025358,2254.096589,2719.341386,19,5/10/2020
ESP,m,75-84,15077,10034.43694,5042.563063,4734.767188,5396.710317,18,5/3/2020
ESP,m,85+,21471,14503.23495,6967.765046,6490.562693,7507.562955,18,5/3/2020
ESP,m,Total,54569,39351.722,15217.278,14335.69381,16277.03696,18,5/3/2020
FIN,b,0-14,19,14.46722047,4.532779532,2.076720026,9.769294902,15,4/12/2020
FIN,b,15-64,1024,950.5579295,73.44207051,34.11898613,128.2856566,16,4/19/2020
FIN,b,65-74,1047,996.7703314,50.22966863,15.67269539,111.9321085,17,4/26/2020
FIN,b,75-84,1923,1755.935383,167.0646169,88.12776253,257.8669056,16,4/19/2020
FIN,b,85+,887,870.6340974,16.36590262,0,60.61238452,17,4/26/2020
FIN,b,Total,5494,5357.525518,136.4744816,55.80497359,312.6057297,16,4/19/2020
FIN,f,0-14,4,3.296854732,0.703145268,0,2.516574824,15,4/12/2020
FIN,f,15-64,98,97.41268087,0.587319127,0,10.44669308,16,4/19/2020
FIN,f,65-74,492,431.2775856,60.72241442,35.00247443,96.72593415,17,4/26/2020
FIN,f,75-84,737,651.9918818,85.00811817,36.1244837,135.1096897,16,4/19/2020
FIN,f,85+,596,557.2386483,38.76135167,17.45170543,67.58500642,17,4/26/2020
FIN,f,Total,2812,2672.461844,139.5381555,56.40841783,241.0082798,17,4/26/2020
FIN,m,0-14,12,7.100425502,4.899574498,2.447957862,8.420998642,14,4/5/2020
FIN,m,15-64,894,786.3948428,107.6051572,56.34836157,163.3624073,16,4/19/2020
FIN,m,65-74,405,384.5010771,20.49892294,0,50.68277081,15,4/12/2020
FIN,m,75-84,1080,976.5959881,103.4040119,53.62083876,171.9980791,16,4/19/2020
FIN,m,85+,515,497.9498009,17.05019907,0.241660045,54.56695948,14,4/5/2020
FIN,m,Total,2295,2154.824992,140.1750082,47.50294352,240.8506698,15,4/12/2020
GBRTENW,b,0-14,493,450.4934731,42.50652692,13.84750963,80.03868521,17,4/26/2020
GBRTENW,b,15-64,21669,16020.01098,5648.989018,4775.48147,6524.010606,18,5/3/2020
GBRTENW,b,65-74,25542,18210.36745,7331.632549,6281.697015,8475.164982,18,5/3/2020
GBRTENW,b,75-84,44505,29037.02229,15467.97771,13593.89654,17842.02277,18,5/3/2020
GBRTENW,b,85+,67150,43857.8719,23292.1281,19256.47924,28223.70532,18,5/3/2020
GBRTENW,b,Total,162556,110453.229,52102.77097,44005.34661,61377.52989,18,5/3/2020
GBRTENW,f,0-14,182,138.4087452,43.59125482,27.14356539,61.25542094,16,4/19/2020
GBRTENW,f,15-64,8401,6369.055912,2031.944088,1688.32042,2406.804102,18,5/3/2020
GBRTENW,f,65-74,9409,7002.922564,2406.077436,2039.182516,2904.547587,18,5/3/2020
GBRTENW,f,75-84,19861,13241.49944,6619.500561,5599.678535,7814.501808,18,5/3/2020
GBRTENW,f,85+,39196,26011.44608,13184.55392,10848.10525,16240.27363,18,5/3/2020
GBRTENW,f,Total,79253,54803.4493,24449.5507,20212.11977,29559.7795,18,5/3/2020
GBRTENW,m,0-14,171,146.8434018,24.15659823,8.160614186,40.15258227,17,4/26/2020
GBRTENW,m,15-64,13268,9648.02914,3619.97086,3085.298122,4192.574498,18,5/3/2020
GBRTENW,m,65-74,15429,10480.56867,4948.431333,4330.2379,5602.206909,18,5/3/2020
GBRTENW,m,75-84,24670,15740.97206,8929.027939,7995.494709,10151.05736,18,5/3/2020
GBRTENW,m,85+,27954,17778.63125,10175.36875,8502.486469,12064.93117,18,5/3/2020
GBRTENW,m,Total,83303,55468.80336,27834.19664,23997.17523,32008.77391,18,5/3/2020
ISL,b,0-14,2,1.992628128,0.007371872,0,8.203981709,14,4/5/2020
ISL,b,15-64,24,13.34237277,10.65762723,4.358109305,16.95714515,13,3/29/2020
