"","Country","Year","Age","Female","Male","Total"
"537","Germany","2020",80,1899975,1359119,3259094
"538","Germany","2020",85,1022253,612796,1635049
"539","Germany","2020",90,521588,236559,758147
"540","Germany","2020",95,174257,49197,223454
"541","Greece","2020",0,198284,211175,409459
"542","Greece","2020",5,228093,243575,471668
"543","Greece","2020",10,262836,279401,542237
"544","Greece","2020",15,257254,269364,526618
"545","Greece","2020",20,258966,270450,529416
"546","Greece","2020",25,251021,276779,527800
"547","Greece","2020",30,287614,310198,597812
"548","Greece","2020",35,361715,376988,738703
"549","Greece","2020",40,383856,396607,780463
"550","Greece","2020",45,396830,397116,793946
"551","Greece","2020",50,403434,392909,796343
"552","Greece","2020",55,366665,342686,709351
"553","Greece","2020",60,356447,320081,676528
"554","Greece","2020",65,311925,268709,580634
"555","Greece","2020",70,296795,252669,549464
"556","Greece","2020",75,223536,183083,406619
"557","Greece","2020",80,229478,164914,394392
"558","Greece","2020",85,155597,105159,260756
"559","Greece","2020",90,61478,43491,104969
"560","Greece","2020",95,15406,10472,25878
"561","India","2020",0,55651093,61228414,116879507
"562","India","2020",5,56104958,61877169,117982127
"563","India","2020",10,59853324,66302628,126155952
"564","India","2020",15,59374711,66670855,126045566
"565","India","2020",20,57638993,64865811,122504804
"566","India","2020",25,55357930,62039339,117397269
"567","India","2020",30,53301210,58874888,112176098
"568","India","2020",35,49466260,53993918,103460178
"569","India","2020",40,43588651,46631243,90219894
"570","India","2020",45,38683675,40756605,79440280
"571","India","2020",50,33673299,35202663,68875962
"572","India","2020",55,29105996,30150272,59256268
"573","India","2020",60,24195856,24694672,48890528
"574","India","2020",65,19092154,19168129,38260283
"575","India","2020",70,12463535,11627908,24091443
"576","India","2020",75,8020956,7062999,15083955
"577","India","2020",80,4657548,3831463,8489011
"578","India","2020",85,1955555,1575584,3531139
"579","India","2020",90,555797,437188,992985
"580","India","2020",95,161914,109222,271136
"581","Ireland","2020",0,152093,161560,313653
"582","Ireland","2020",5,174421,183869,358290
"583","Ireland","2020",10,174656,182055,356711
"584","Ireland","2020",15,153162,158874,312036
"585","Ireland","2020",20,143018,146666,289684
"586","Ireland","2020",25,136455,141198,277653
"587","Ireland","2020",30,156015,154931,310946
"588","Ireland","2020",35,198057,186925,384982
"589","Ireland","2020",40,202944,192610,395554
"590","Ireland","2020",45,185755,181919,367674
"591","Ireland","2020",50,156798,155399,312197
"592","Ireland","2020",55,145604,143132,288736
"593","Ireland","2020",60,126855,122993,249848
"594","Ireland","2020",65,117548,113389,230937
"595","Ireland","2020",70,101042,95764,196806
"596","Ireland","2020",75,69974,63883,133857
"597","Ireland","2020",80,48452,39656,88108
"598","Ireland","2020",85,26790,18940,45730
"599","Ireland","2020",90,12304,6086,18390
"600","Ireland","2020",95,4504,1500,6004
"601","Israel","2020",0,413202,434626,847828
"602","Israel","2020",5,400498,422770,823268
"603","Israel","2020",10,358769,378840,737609
"604","Israel","2020",15,324764,342690,667454
"605","Israel","2020",20,303852,320121,623973
"606","Israel","2020",25,279872,293130,573002
"607","Israel","2020",30,279304,285404,564708
