"","Country","Year","Age","Female","Male","Total"
"338","Bangladesh","2017",85,202384,175396,377780
"339","Bangladesh","2017",90,63297,50571,113868
"340","Bangladesh","2017",95,13933,9639,23572
"341","Bolivia","2017",0,584787,611852,1196639
"342","Bolivia","2017",5,573825,598869,1172694
"343","Bolivia","2017",10,564578,588419,1152997
"344","Bolivia","2017",15,533930,555015,1088945
"345","Bolivia","2017",20,491092,507807,998899
"346","Bolivia","2017",25,440903,451318,892221
"347","Bolivia","2017",30,390500,396552,787052
"348","Bolivia","2017",35,341622,344234,685856
"349","Bolivia","2017",40,294220,293852,588072
"350","Bolivia","2017",45,250347,247618,497965
"351","Bolivia","2017",50,212046,207666,419712
"352","Bolivia","2017",55,180096,174094,354190
"353","Bolivia","2017",60,154228,145892,300120
"354","Bolivia","2017",65,128907,120325,249232
"355","Bolivia","2017",70,101701,92076,193777
"356","Bolivia","2017",75,72566,61365,133931
"357","Bolivia","2017",80,49326,38460,87786
"358","Bolivia","2017",85,27334,19396,46730
"359","Bolivia","2017",90,10907,6867,17774
"360","Bolivia","2017",95,3373,1767,5140
"361","Brazil","2017",0,7147350,7480101,14627451
"362","Brazil","2017",5,7325957,7634283,14960240
"363","Brazil","2017",10,7972350,8284209,16256559
"364","Brazil","2017",15,8477857,8775962,17253819
"365","Brazil","2017",20,8434429,8637815,17072244
"366","Brazil","2017",25,8602303,8675545,17277848
"367","Brazil","2017",30,8779040,8718052,17497092
"368","Brazil","2017",35,8016361,7843898,15860259
"369","Brazil","2017",40,7161717,6883918,14045635
"370","Brazil","2017",45,6772503,6383618,13156121
"371","Brazil","2017",50,6250650,5780368,12031018
"372","Brazil","2017",55,5249358,4741856,9991214
"373","Brazil","2017",60,4289234,3768616,8057850
"374","Brazil","2017",65,3247420,2736132,5983552
"375","Brazil","2017",70,2330854,1849073,4179927
"376","Brazil","2017",75,1765996,1292842,3058838
"377","Brazil","2017",80,1087294,701679,1788973
"378","Brazil","2017",85,611083,335323,946406
"379","Brazil","2017",90,228311,107303,335614
"380","Brazil","2017",95,64176,26923,91099
"381","Cameroon","2017",0,1892073,1929909,3821982
"382","Cameroon","2017",5,1665436,1692497,3357933
"383","Cameroon","2017",10,1435381,1453482,2888863
"384","Cameroon","2017",15,1225573,1238184,2463757
"385","Cameroon","2017",20,1088251,1094068,2182319
"386","Cameroon","2017",25,955164,956675,1911839
"387","Cameroon","2017",30,793110,795411,1588521
"388","Cameroon","2017",35,623606,626301,1249907
"389","Cameroon","2017",40,491225,491310,982535
"390","Cameroon","2017",45,388578,384548,773126
"391","Cameroon","2017",50,307383,297150,604533
"392","Cameroon","2017",55,242132,226320,468452
"393","Cameroon","2017",60,194265,174448,368713
"394","Cameroon","2017",65,147020,124650,271670
"395","Cameroon","2017",70,103272,82523,185795
"396","Cameroon","2017",75,64511,47487,111998
"397","Cameroon","2017",80,30297,20033,50330
"398","Cameroon","2017",85,8918,5221,14139
"399","Cameroon","2017",90,1231,630,1861
"400","Cameroon","2017",95,70,33,103
"401","Canada","2017",0,950252,996168,1946420
"402","Canada","2017",5,955845,1002283,1958128
"403","Canada","2017",10,901601,955049,1856650
"404","Canada","2017",15,1034682,1097332,2132014
"405","Canada","2017",20,1232517,1284199,2516716
"406","Canada","2017",25,1230147,1236929,2467076
"407","Canada","2017",30,1278363,1269189,2547552
"408","Canada","2017",35,1207768,1192192,2399960
"409","Canada","2017",40,1177793,1174320,2352113
"410","Canada","2017",45,1204356,1216076,2420432
"411","Canada","2017",50,1388633,1400008,2788641
